team,percentage,performance
E Michigan,41.94%,0.4473
Delaware St,41.94%,0.4473
Morehead St,41.94%,0.4473
Utah,41.94%,0.4473
Wake Forest,41.94%,0.4473
William & Mary,41.38%,0.4414
CS Northridge,41.38%,0.4414
Yale,41.38%,0.4414
N Kentucky,40.74%,0.4346
Washington St,40.63%,0.4333
West Virginia,40.63%,0.4333
Northwestern,40.63%,0.4333
Virginia Tech,40.63%,0.4333
CS Fullerton,40.00%,0.4267
St Francis NY,40.00%,0.4267
Holy Cross,40.00%,0.4267
Cornell,40.00%,0.4267
Jacksonville,40.00%,0.4267
Winthrop,39.29%,0.4190
Montana St,39.29%,0.4190
VMI,39.29%,0.4190
Cent Arkansas,39.29%,0.4190
McNeese St,39.29%,0.4190
Houston Bap,39.29%,0.4190
W Carolina,38.71%,0.4129
Wofford,38.71%,0.4129
North Florida,38.71%,0.4129
Ga Southern,38.71%,0.4129
Prairie View,38.71%,0.4129
Marshall,38.71%,0.4129
South Florida,38.71%,0.4129
Columbia,38.46%,0.4103
CS Bakersfield,38.46%,0.4103
N Colorado,37.93%,0.4046
Jackson St,37.93%,0.4046
SE Louisiana,37.93%,0.4046
Lipscomb,37.93%,0.4046
Pepperdine,37.93%,0.4046
Idaho,37.93%,0.4046
Cleveland St,37.93%,0.4046
ULL,37.50%,0.4000
Bethune-Cookman,37.50%,0.4000
Liberty,37.50%,0.4000
Buffalo,37.50%,0.4000
Tennessee Tech,37.04%,0.3951
Bowling Green,36.67%,0.3911
North Texas,36.67%,0.3911
Campbell,36.67%,0.3911
Chattanooga,36.67%,0.3911
Nevada,36.67%,0.3911
Troy,36.36%,0.3879
Utah Valley,35.71%,0.3810
E Illinois,35.48%,0.3785
Texas Tech,35.48%,0.3785
Radford,34.48%,0.3678
Maine,34.48%,0.3678
NE Omaha,34.48%,0.3678
Colgate,34.38%,0.3667
Northern Arizona,34.38%,0.3667
DePaul,34.38%,0.3667
C Michigan,33.33%,0.3556
Texas St,33.33%,0.3556
American Univ,33.33%,0.3556
E Washington,32.26%,0.3441
Samford,32.26%,0.3441
Monmouth NJ,32.26%,0.3441
Marist,32.26%,0.3441
TCU,32.26%,0.3441
Penn St,32.26%,0.3441
Fresno St,32.14%,0.3429
UT San Antonio,31.25%,0.3333
Loy Marymount,31.25%,0.3333
Mississippi St,31.25%,0.3333
Sacred Heart,31.03%,0.3310
Southern Utah,31.03%,0.3310
UNC Wilmington,31.03%,0.3310
Alabama A&M,31.03%,0.3310
Santa Barbara,31.03%,0.3310
Nicholls St,30.00%,0.3200
St Peter's,30.00%,0.3200
Portland,30.00%,0.3200
Dartmouth,29.63%,0.3160
Penn,29.03%,0.3097
Alabama St,29.03%,0.3097
ETSU,29.03%,0.3097
Missouri St,29.03%,0.3097
New Hampshire,28.57%,0.3048
South Dakota,28.57%,0.3048
San Jose St,28.57%,0.3048
Alcorn St,28.13%,0.3000
Auburn,28.13%,0.3000
Edwardsville,28.00%,0.2987
Rhode Island,27.59%,0.2943
Miami OH,26.67%,0.2844
Duquesne,26.67%,0.2844
Chicago St,25.00%,0.2667
Siena,25.00%,0.2667
TN Martin,25.00%,0.2667
Seattle,24.14%,0.2575
UNC Greensboro,24.14%,0.2575
Navy,23.33%,0.2489
MD Baltimore Co,23.33%,0.2489
Portland St,23.08%,0.2462
Coppin St,22.58%,0.2409
F Dickinson,22.58%,0.2409
Missouri KC,22.58%,0.2409
Fordham,22.58%,0.2409
Citadel,21.43%,0.2286
Austin Peay,20.69%,0.2207
Howard,20.69%,0.2207
Florida A&M,20.69%,0.2207
WI Milwaukee,20.00%,0.2133
Hofstra,19.35%,0.2065
Longwood,19.35%,0.2065
New Orleans,18.18%,0.1939
TAM C. Christi,17.86%,0.1905
MS Valley St,17.86%,0.1905
Idaho St,17.24%,0.1839
St Francis PA,17.24%,0.1839
Furman,17.24%,0.1839
Presbyterian,17.24%,0.1839
Old Dominion,16.67%,0.1778
ULM,14.81%,0.1580
UC Riverside,14.29%,0.1524
S Carolina St,14.29%,0.1524
N Illinois,13.79%,0.1471
Rice,13.79%,0.1471
IUPUI,13.33%,0.1422
Kennesaw,10.00%,0.1067
Lamar,9.68%,0.1032
MD E Shore,7.14%,0.0762
Binghamton,6.90%,0.0736
Grambling,0.00%,0.0000
