Abe Gibron,1.2535665754662797
Adam Walsh,1.7398963115563917
Al Cornsweet,2.1661640068576675
Al Davis,1.5782126862015793
Al Groh,1.5761365063352641
Al Jolley,1.0805463747866304
Al Nesser,2.6735106571783143
Al Pierotti,2.9711147188342544
Al Saunders,1.4210692225112256
Aldo Donelli,1.2525597054991242
Alex Webster,1.4055037611349492
Alfred McGall,2.179551777137857
Algy Clark,1.941081972957329
Allie Sherman,1.518871502091649
Andy Reid,1.5750838933696862
Andy Salata,2.183101701710326
Archie Golembeski,3.4992887700872757
Arnie Horween,3.381627735630922
Art Lewis,1.4852691159079456
Art Shell+,1.504004935618084
Austin Higgins,1.9507918219319196
Babe Ruetz,2.8175068718401763
Barry Switzer,1.6100922618394788
Bart Starr+,1.3919540731358269
Benny Friedman+,2.5692604071851566
Bert Bell,1.1646230296732445
Bill Arnsparger,2.1309187694308913
Bill Austin,2.245196021743339
Bill Belichick,1.64236139287918
Bill Callahan,1.785223832075364
Bill Conkright,1.9636314887331356
Bill Cowher,1.8842850698754474
Bill Edwards,1.2950026533229408
Bill Johnson,2.1184353512460015
Bill McPeak,1.2990736221790444
Bill Parcells+,1.5564045298185638
Bill Peterson,1.0434660421984798
Bill Walsh,1.6005087801566915
Billy Marshall,2.9488037336741297
Blanton Collier,1.6796875215323017
Bo Hanley,3.024520677519501
Bo McMillin,1.5914614835840402
Bob Dove,2.485376382933232
Bob Folwell,3.615633144944727
Bob Hollway,1.4362676261025087
Bob Snyder,3.4082313768096357
Bob Waterfield+,1.25902681041855
Bobby Petrino,1.9989113890055532
Bobby Ross,1.5270236302950195
Brad Childress,1.9128656161845876
Brian Billick,1.5410164597514977
Brick Muller,3.34062627729558
Bruce Arians,2.6797031276910146
Bruce Coslet,1.3652102250723455
Buck Shaw,1.6072468645438112
Bud Carson,1.4435193573788445
Bud Grant,1.6075777871329817
Bud Wilkinson,1.3461936895948712
Buddy Parker,1.5675601322161667
Buddy Ryan,1.485117616932628
Budge Garrett,3.177148103426072
Bull Behman,1.4859887270652015
Bull Karcis,1.948131170509232
Bulldog Turner+,2.2097298114153903
Bum Phillips,1.5015435163348942
Buster Ramsey,2.284585969735531
Butch Davis,1.3989965767470671
Cam Cameron,1.8333818752408353
Cap Edwards,2.076267400884915
Cap McEwan,1.610858411056838
Carl Storck,2.1527649586065847
Carl Voyles,1.381336184553232
Cecil Isbell,1.2885502874749124
Chan Gailey,1.4103221575550844
Charley Ewart,2.381512304595263
Charley Moran,2.6221541397016557
Charley Rogers,2.8363182994080125
Charlie Brickley,1.945277383715815
Charlie Waller,2.6975035891010357
Chile Walsh,2.2751422892709128
Chip Kelly,2.681487590633952
Chris Palmer,2.3551300243375044
Chuck Drulis,2.0
Chuck Fairbanks,1.530296542619125
Chuck Knox,1.5440040111274476
Chuck Noll+,1.550996576747067
Chuck Pagano,2.8270058359448025
Chuck Studley,1.189863608409764
Clark Shaughnessy,1.65659756883713
Clem Crowe,1.2818222901667802
Cliff Battles+,1.1851627079382212
Clipper Smith,1.2892350044529888
Clive Rush,2.3659046089613254
Coonie Checkaye,1.9464140955523015
Curly Lambeau+,1.6243792014910845
Dan Devine,1.4664370620896556
Dan Henning,1.9673578812392578
Dan Reeves,1.5207970269995057
Darryl Rogers,1.2960083767063706
Dave Campo,1.4597495610607432
Dave McGinnis,1.2829967503397515
Dave Wannstedt,1.4707488015587873
David Shula,1.2539363044371628
Dennis Allen,2.3886820063590735
Dennis Erickson,1.4025988477538074
Dennis Green,1.8021225543082897
Dewey Scanlon,1.5159967503397516
Dick Hanley,2.485009474079406
Dick Jauron,1.4081051522669783
Dick LeBeau+,1.414228617587362
Dick MacPherson,1.8960811427209112
Dick Modzelewski,2.017978749035948
Dick Nolan,1.4464036601303591
Dick Rauch,1.5643221575550843
Dick Stanfel,1.2371876427753956
Dick Todd,2.794823595258623
Dick Vermeil,1.5090106215536536
Dim Batterson,2.3409574684899095
Doc Alexander,2.422113551617368
Dom Capers,1.3602985105163068
Don Coryell,1.557830008081655
Don McCafferty,1.6070541499075528
Don Shula+,1.6630682755727415
Doug Marrone,2.431529347254675
Dudley DeGroot,1.6052673457242945
Dutch Bergman,1.652049772926036
Dutch Clark+,1.4547757913231403
Dutch Hendrian,3.051947175458576
Earl Potteiger,1.5475087801566916
Ed Biles,1.2447890088189009
Ed Hughes,1.6165630390042958
Ed Khayat,1.4736899615470427
Ed Kubale,0.9874517787183912
Ed McKeever,1.3092909876971208
Ed Robinson,2.4638523828547205
Ed Weir,1.6677097558861083
Eddie Casey,1.189743384728028
Eddie Erdelatz,2.253019363166817
Elgie Tobin,3.5201180991878593
Emmitt Thomas+,2.1061833307971174
Eric Mangini,1.7990094106970944
Eric Studesville,3.8728200837109883
Ernie Hefferle,1.3740285831495211
Ernie Nevers+,1.2937174819585822
Fay Abbott,0.9869132232728358
Forrest Gregg+,1.45863685474714
Frank Bridges,0.9894880911931614
Frank Coughlin,1.945277383715815
Frank Fausch,1.3629718082469418
Frank Filchock,2.1366175055314773
Frank Gansz,1.2519970454032117
Frank Kush,1.267001486294966
Frank Nied,2.9233695982742143
Frankie Albert,1.529821139902287
Fred Bruney,1.989403660130359
Fred Gillies,1.1663434110176332
Fred O'Connor,1.240527433081084
Fritz Pollard+,2.245022125203182
Gary Kubiak,2.0076706263885544
Gary Moeller,1.5842815150298557
Gene Ronzani,1.297354980068803
Gene Stallings,1.3891883587778848
George Allen,1.6990106620014678
George Gibson,2.4116856758769694
George Halas+,1.6712893308754881
George Seifert,1.6330130408247356
